Xaux_1,Xaux_2,Xaux_3,Xaux_4,Xaux_5,Xaux_6,Xaux_7,Xaux_8,Xaux_9,Var2
0.05517,0.26075,-0.54284,0.030729,0.18389,0.17065,-0.46533,0.053535,0.021723,d
0.1404,0.43209,-0.67035,0.08995,0.31823,0.28592,-0.41154,0.12841,0.0542,b
0.052304,0.2611,-0.59906,0.027398,0.19241,0.17579,-0.43722,0.049833,0.017144,c
0.25967,0.52313,-0.59101,0.1049,0.32645,0.45553,-0.38413,0.13642,0.15214,d
0.067013,0.25359,-0.58143,0.02343,0.1435,0.23347,-0.47535,0.034719,0.044481,d
0.07584,0.31873,-0.463,0.030465,0.23619,0.19367,-0.44074,0.069626,0.024645,c
0.013443,0.12849,-0.6283,0.0072923,0.062052,0.082882,-0.58939,0.01231,0.0053217,c
0.052016,0.25916,-0.5397,0.032073,0.18642,0.16122,-0.45913,0.050378,0.017554,c
0.074377,0.27074,-0.62115,0.0035029,0.04246,0.23604,-0.6123,0.0077273,0.047499,c
0.061078,0.25778,-0.60251,0.02023,0.12799,0.22014,-0.53445,0.031087,0.034099,d
0.038393,0.18871,-0.69782,0.0053363,0.048227,0.15545,-0.63165,0.0097856,0.02723,c
0.21349,0.52984,-0.45064,0.079554,0.41514,0.34187,-0.34634,0.15177,0.068033,d
0.2525,0.51273,-0.45176,0.059549,0.30971,0.42567,-0.4117,0.10825,0.14789,d
0.35928,0.6517,-0.45263,0.26266,0.64754,0.42131,-0.28008,0.33713,0.15915,d
0.13458,0.40946,-0.5729,0.073619,0.31929,0.28546,-0.38213,0.10571,0.051589,d
0.11811,0.32158,-0.7065,0.038586,0.13473,0.23307,-0.61252,0.051308,0.088315,b
0.034777,0.20504,-0.73233,0.019245,0.11266,0.13764,-0.53167,0.028815,0.014644,b
0.047131,0.24079,-0.55126,0.032285,0.18959,0.16363,-0.4738,0.052534,0.018611,d
0.080756,0.27828,-0.59667,0.047313,0.21588,0.24954,-0.42491,0.060996,0.054676,d
0.0083122,0.10807,-0.89394,0.030856,0.087635,0.040088,-0.70498,0.033609,0.0018214,b
0.053264,0.26526,-0.67455,0.010951,0.097775,0.1946,-0.55709,0.02342,0.016675,d
0.070862,0.28514,-0.5849,0.007977,0.0923,0.18733,-0.54639,0.02173,0.034874,c
0.030259,0.17658,-0.70994,0.0055277,0.05316,0.13862,-0.63634,0.011454,0.018032,c
0.017309,0.15683,-0.5612,0.0095873,0.073095,0.088475,-0.54198,0.014789,0.0053946,d
0.0099468,0.10284,-0.72842,0.0018344,0.025386,0.079154,-0.70131,0.0041103,0.0055751,c
0.057902,0.26655,-0.55216,0.073088,0.25733,0.17985,-0.4441,0.081717,0.023216,c
0.027907,0.18902,-0.60227,0.011025,0.10088,0.11431,-0.5513,0.022366,0.0096576,d
